epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,3111.47,0.66628,0.36993,0.93527,0.77743,0.79691,0.71236,0.54936,0.84017,0.7032,1.07226,0.00769,0.00769,0.00769
107,3140.9,0.66413,0.36742,0.9364,0.78065,0.79998,0.7113,0.54889,0.84225,0.70212,1.08255,0.007668,0.007668,0.007668
108,3170.14,0.6638,0.37153,0.93682,0.78578,0.79906,0.71607,0.55254,0.84388,0.6988,1.08901,0.007646,0.007646,0.007646
109,3199.58,0.66485,0.36788,0.93462,0.78469,0.79696,0.71683,0.54977,0.84606,0.6982,1.0893,0.007624,0.007624,0.007624
110,3228.64,0.66002,0.36383,0.93247,0.78296,0.79971,0.71832,0.55124,0.84733,0.69049,1.0898,0.007602,0.007602,0.007602
111,3257.81,0.65806,0.3627,0.93172,0.78383,0.79922,0.71643,0.55097,0.84737,0.68705,1.09009,0.00758,0.00758,0.00758
112,3287.11,0.66068,0.36407,0.93439,0.78471,0.79751,0.71631,0.55122,0.84579,0.68418,1.08721,0.007558,0.007558,0.007558
113,3316.48,0.65498,0.35962,0.93087,0.78097,0.79526,0.71499,0.54956,0.84372,0.68185,1.08598,0.007536,0.007536,0.007536
114,3345.66,0.65148,0.35845,0.92908,0.78581,0.79075,0.71904,0.55243,0.84553,0.6831,1.08498,0.007514,0.007514,0.007514
115,3374.86,0.65418,0.35995,0.92843,0.78603,0.79459,0.72233,0.55458,0.84507,0.68087,1.08092,0.007492,0.007492,0.007492
116,3404.27,0.64638,0.3576,0.92541,0.78871,0.79027,0.71885,0.5507,0.84649,0.68573,1.08141,0.00747,0.00747,0.00747
117,3433.33,0.6552,0.36144,0.93024,0.77147,0.80491,0.71958,0.5517,0.845,0.68615,1.08253,0.007448,0.007448,0.007448
118,3462.49,0.64765,0.35751,0.92513,0.79146,0.79495,0.7228,0.55416,0.84498,0.68522,1.08178,0.007426,0.007426,0.007426
119,3492.2,0.64431,0.35596,0.92334,0.79017,0.79459,0.72416,0.55587,0.84441,0.68042,1.07868,0.007404,0.007404,0.007404
120,3521.27,0.64564,0.35305,0.92334,0.78986,0.79436,0.72191,0.5557,0.84519,0.6789,1.0778,0.007382,0.007382,0.007382
121,3550.43,0.64585,0.35527,0.92638,0.7907,0.792,0.71909,0.55406,0.84715,0.68113,1.08374,0.00736,0.00736,0.00736
122,3579.79,0.64004,0.35411,0.92368,0.7883,0.79349,0.72078,0.55492,0.84392,0.67805,1.07954,0.007338,0.007338,0.007338
123,3608.84,0.64198,0.35253,0.9257,0.78656,0.79755,0.71997,0.55299,0.84446,0.67974,1.08006,0.007316,0.007316,0.007316
124,3638.42,0.63978,0.34848,0.92149,0.78806,0.79649,0.72119,0.55315,0.84459,0.68161,1.08069,0.007294,0.007294,0.007294
