epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1606.01,0.81075,0.47728,1.02778,0.78709,0.79846,0.76108,0.58129,0.8327,0.70759,1.10325,0.00824,0.00824,0.00824
82,1625.5,0.80824,0.47215,1.01873,0.78114,0.80227,0.75779,0.58209,0.83268,0.70348,1.08711,0.008218,0.008218,0.008218
83,1645.17,0.80492,0.47043,1.02004,0.78394,0.79824,0.75176,0.57385,0.83585,0.70008,1.0845,0.008196,0.008196,0.008196
84,1665,0.8055,0.46743,1.0216,0.77861,0.79797,0.75519,0.58014,0.83368,0.70341,1.09002,0.008174,0.008174,0.008174
85,1685.24,0.80304,0.46452,1.01942,0.7816,0.79645,0.75364,0.58037,0.83146,0.7059,1.07457,0.008152,0.008152,0.008152
86,1706.15,0.79966,0.46481,1.01557,0.79282,0.80011,0.74841,0.57802,0.83359,0.70702,1.07869,0.00813,0.00813,0.00813
87,1726.12,0.80076,0.46414,1.01607,0.79121,0.80449,0.75447,0.58226,0.83799,0.70451,1.08664,0.008108,0.008108,0.008108
88,1747.11,0.79769,0.46188,1.00887,0.78457,0.80218,0.73667,0.5678,0.83717,0.71391,1.06903,0.008086,0.008086,0.008086
89,1767.05,0.79756,0.46529,1.0155,0.78354,0.7882,0.75636,0.57982,0.82752,0.70941,1.0645,0.008064,0.008064,0.008064
90,1787.31,0.79395,0.45533,1.01457,0.7747,0.80186,0.75296,0.58072,0.83165,0.71876,1.09035,0.008042,0.008042,0.008042
91,1807.6,0.79605,0.46126,1.01412,0.77283,0.81025,0.74672,0.57371,0.8342,0.70926,1.08172,0.00802,0.00802,0.00802
92,1827.96,0.79284,0.45763,1.01538,0.77589,0.80267,0.75282,0.57945,0.83042,0.71036,1.08676,0.007998,0.007998,0.007998
93,1847.91,0.79082,0.45244,1.01179,0.78854,0.78812,0.7468,0.57555,0.83554,0.71916,1.09306,0.007976,0.007976,0.007976
94,1868.25,0.79432,0.45983,1.01153,0.77066,0.79301,0.74613,0.57699,0.83084,0.70805,1.07491,0.007954,0.007954,0.007954
95,1888.51,0.79054,0.4544,1.0114,0.78781,0.78585,0.75675,0.58433,0.83203,0.70959,1.07877,0.007932,0.007932,0.007932
96,1908.45,0.79339,0.45564,1.01049,0.78434,0.78324,0.74947,0.578,0.83044,0.7135,1.0771,0.00791,0.00791,0.00791
97,1928.3,0.7892,0.45289,1.00869,0.77726,0.79302,0.7473,0.57766,0.83169,0.71562,1.08088,0.007888,0.007888,0.007888
98,1948.14,0.79349,0.4617,1.01616,0.79247,0.77885,0.75556,0.58466,0.82732,0.70829,1.08311,0.007866,0.007866,0.007866
99,1968.39,0.78636,0.45273,1.00917,0.78195,0.79419,0.74954,0.58051,0.82791,0.71365,1.082,0.007844,0.007844,0.007844
100,1988.52,0.78331,0.45095,1.00547,0.78739,0.79233,0.74539,0.57742,0.83533,0.71408,1.09243,0.007822,0.007822,0.007822
101,2008.35,0.79014,0.45381,1.00955,0.77924,0.79173,0.74666,0.578,0.83547,0.71619,1.09213,0.0078,0.0078,0.0078
102,2028.23,0.78546,0.45084,1.00412,0.7862,0.79297,0.74714,0.57873,0.83545,0.71576,1.0837,0.007778,0.007778,0.007778
103,2048.54,0.78419,0.45253,1.00583,0.78637,0.79217,0.73525,0.56799,0.83885,0.72058,1.08384,0.007756,0.007756,0.007756
